"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p50"
36047040600,"Kings County, NY",58060
34003019203,"Fort Lee, NJ",58058
36081047600,"Queens County, NY",58058
34017001201,"The Heights, Jersey City, NJ",58037
36081008800,"Queens County, NY",58034
36081009500,"Queens County, NY",58033
36081065703,"Queens County, NY",57999
36081118100,"Queens County, NY",57990
36059416402,"Long Beach, NY",57987
36005031000,"Bronx County, NY",57948
36047065200,"Kings County, NY",57943
36047028200,"Kings County, NY",57940
34039034800,"Linden, NJ",57868
36085012805,"Richmond County, NY",57850
36047035400,"Kings County, NY",57844
36047016200,"Kings County, NY",57818
34017018701,"Hoboken, NJ",57797
36059410800,"Valley Stream, NY",57771
34003016000,"Englewood Cliffs, NJ",57750
34017013300,"Kearny, NJ",57734
36081013500,"Queens County, NY",57725
36085014605,"Richmond County, NY",57724
36081051500,"Queens County, NY",57724
34013016100,"Upper Montclair, Montclair, NJ",57717
36059412200,"East Rockaway, NY",57700
36085009602,"Richmond County, NY",57691
36047005000,"Kings County, NY",57683
36081067100,"Queens County, NY",57657
36081063900,"Queens County, NY",57655
36081051300,"Queens County, NY",57628
34013017301,"West Orange, NJ",57628
36081017900,"Queens County, NY",57625
34013013900,"Nutley, NJ",57619
36081074900,"Queens County, NY",57616
36119005800,"New Rochelle, NY",57601
36081093900,"Queens County, NY",57600
34003017500,"Fair Lawn, NJ",57595
36047055200,"Kings County, NY",57575
36081124700,"Queens County, NY",57572
34003031100,"Lyndhurst, NJ",57571
36059517802,"Locust Valley, NY",57569
34039033400,"Union, NJ",57558
36085014608,"Richmond County, NY",57543
36081121500,"Queens County, NY",57542
36047017400,"Kings County, NY",57536
36085013201,"Richmond County, NY",57495
36081045600,"Queens County, NY",57490
36047069602,"Kings County, NY",57468
36047018200,"Kings County, NY",57459
34013013700,"Nutley, NJ",57393
34031124402,"Clifton, NJ",57384
36081109300,"Queens County, NY",57382
36085017010,"Richmond County, NY",57374
36047068600,"Kings County, NY",57332
34027042600,"Florham Park, NJ",57313
36059300500,"Great Neck, NY",57296
36047039800,"Kings County, NY",57286
36047062200,"Kings County, NY",57281
36047043400,"Kings County, NY",57279
36047056000,"Kings County, NY",57278
36081116100,"Queens County, NY",57270
36059411400,"Woodmere, NY",57258
36059412000,"Lynbrook, NY",57256
36085020801,"Richmond County, NY",57216
36081115100,"Queens County, NY",57196
34031124322,"Clifton, NJ",57196
36119001403,"Lincoln Park, Yonkers, NY",57153
36081099704,"Queens County, NY",57102
36081024500,"Queens County, NY",57098
36081079701,"Queens County, NY",57087
34039037900,"Summit, NJ",57083
36085017012,"Richmond County, NY",57071
36081139900,"Queens County, NY",57052
36085027705,"Richmond County, NY",57049
36061011700,"Hell's Kitchen, New York, NY",57041
36047007000,"Kings County, NY",57024
36047019600,"Kings County, NY",56894
36081056200,"Queens County, NY",56867
34003019305,"Fort Lee, NJ",56843
34003060000,"Wood-Ridge, NJ",56817
36047048100,"Kings County, NY",56810
34017012900,"Kearny, NJ",56805
36081079900,"Queens County, NY",56796
34017000100,"The Heights, Jersey City, NJ",56796
36081029700,"Queens County, NY",56774
36085017009,"Richmond County, NY",56768
36047055800,"Kings County, NY",56762
36081052100,"Queens County, NY",56735
34039033300,"Union, NJ",56719
36047028400,"Kings County, NY",56659
34003004002,"Bogota, NJ",56657
34003028002,"Leonia, NJ",56646
36085001800,"Richmond County, NY",56642
36081093402,"Queens County, NY",56637
