"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p75"
36061000900,"Lower Manhattan, New York, NY",69233
34013007100,"Ironbound District, Newark, NJ",69226
36005018400,"Bronx County, NY",69208
36005011800,"Bronx County, NY",69200
36047045000,"Kings County, NY",69112
36081049500,"Queens County, NY",69111
36081099100,"Queens County, NY",69068
36081015100,"Queens County, NY",69029
36047063800,"Kings County, NY",69008
36059517802,"Locust Valley, NY",69004
34039037601,"Springfield Township, NJ",68949
34017013900,"Harrison, NJ",68940
34023001410,"Edison, NJ",68931
36047055800,"Kings County, NY",68926
36085027706,"Richmond County, NY",68921
36081109700,"Queens County, NY",68895
36081093401,"Queens County, NY",68883
36047026800,"Kings County, NY",68846
36081005200,"Queens County, NY",68799
36061008601,"Midtown, New York, NY",68785
36047064200,"Kings County, NY",68771
36047045200,"Kings County, NY",68760
34003017500,"Fair Lawn, NJ",68752
34003042500,"Paramus, NJ",68733
36059410900,"Valley Stream, NY",68720
36081008500,"Queens County, NY",68689
36047028200,"Kings County, NY",68662
36085017008,"Richmond County, NY",68641
36047074400,"Kings County, NY",68640
34039033600,"Kenilworth, NJ",68634
36059411400,"Woodmere, NY",68632
34017011300,"Constable Hook, Bayonne, NJ",68630
36081049700,"Queens County, NY",68623
36047068600,"Kings County, NY",68617
36047045400,"Kings County, NY",68561
36081108500,"Queens County, NY",68541
36047062200,"Kings County, NY",68485
36081014202,"Queens County, NY",68480
36047075200,"Kings County, NY",68474
34017013300,"Kearny, NJ",68448
36081120100,"Queens County, NY",68441
36047039000,"Kings County, NY",68431
36081140300,"Queens County, NY",68419
36081137700,"Queens County, NY",68409
34023001409,"Edison, NJ",68396
36047018200,"Kings County, NY",68390
34013020500,"Livingston, NJ",68329
36047018600,"Kings County, NY",68322
36047020600,"Kings County, NY",68311
36047059200,"Kings County, NY",68265
36085015601,"Richmond County, NY",68265
36081144100,"Queens County, NY",68220
36047030600,"Kings County, NY",68189
36119005500,"Pelham, Pelham Manor, NY",68176
36081146700,"Queens County, NY",68162
34017012700,"Kearny, NJ",68155
36047048000,"Kings County, NY",68150
36081051500,"Queens County, NY",68143
34017019800,"Secaucus, NJ",68141
36081150701,"Queens County, NY",68130
34003060000,"Wood-Ridge, NJ",68038
34003052100,"Saddle Brook, NJ",68036
36047012801,"Kings County, NY",68021
36085017009,"Richmond County, NY",68009
36047000301,"Kings County, NY",68007
34003019304,"Fort Lee, NJ",67951
34013014000,"Belleville, NJ",67932
36047036600,"Kings County, NY",67928
36059413300,"Oceanside, NY",67910
36047051500,"Kings County, NY",67872
34017012900,"Kearny, NJ",67861
36081074700,"Queens County, NY",67849
34017014600,"North Bergen, NJ",67835
34039037000,"Cranford, NJ",67827
36005026400,"Bronx County, NY",67822
36085013201,"Richmond County, NY",67807
34039033500,"Union, NJ",67805
36047030200,"Kings County, NY",67795
36081104700,"Queens County, NY",67794
36005024400,"Bronx County, NY",67778
34023001417,"Edison, NJ",67724
36085027704,"Richmond County, NY",67713
36047028800,"Kings County, NY",67698
34013014100,"Belleville, NJ",67692
36081071304,"Queens County, NY",67689
36081018502,"Queens County, NY",67682
36059303600,"Mineola, NY",67677
36085018100,"Richmond County, NY",67669
36081099705,"Queens County, NY",67657
36081058900,"Queens County, NY",67653
34017013400,"East Newark, NJ",67595
36081010100,"Queens County, NY",67594
36081148300,"Queens County, NY",67586
36081067700,"Queens County, NY",67583
34013008000,"Central Business District, Newark, NJ",67578
36059411200,"Cedarhurst, NY",67577
36081138501,"Queens County, NY",67559
36081012100,"Queens County, NY",67538
36047059402,"Kings County, NY",67532
36081109300,"Queens County, NY",67525
36047026400,"Kings County, NY",67511
36061011800,"Lenox Hill, New York, NY",67505
36047025600,"Kings County, NY",67497
34003003401,"Bergenfield, NJ",67481
36081063500,"Queens County, NY",67470
36059303201,"Garden City Park, NY",67434
36047017400,"Kings County, NY",67434
36047054800,"Kings County, NY",67408
36081086900,"Queens County, NY",67399
36081025302,"Queens County, NY",67389
36059416201,"Island Park, NY",67385
34003045200,"Ridgefield, NJ",67343
36081145102,"Queens County, NY",67336
34013013900,"Nutley, NJ",67329
36059416900,"Lido Beach, NY",67316
36047065200,"Kings County, NY",67295
36047069601,"Kings County, NY",67292
34017015001,"Guttenberg, NJ",67283
36085024401,"Richmond County, NY",67265
36059412200,"East Rockaway, NY",67258
34039036700,"Westfield, NJ",67234
34013007700,"Ironbound District, Newark, NJ",67215
34003019204,"Fort Lee, NJ",67214
36085014605,"Richmond County, NY",67198
36081070700,"Queens County, NY",67184
36081119100,"Queens County, NY",67156
36059410400,"Valley Stream, NY",67145
36081133300,"Queens County, NY",67115
34013013700,"Nutley, NJ",67078
