"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_p50"
24510130400,"Woodbrook, Baltimore, MD",29415
24510200600,"Baltimore, MD",29200
24510270901,"New Northwood, Baltimore, MD",29134
24510120300,"Harwood, Baltimore, MD",29134
24005402307,"Pikesville, MD",29096
24510150800,"Garwyn Oaks, Baltimore, MD",28990
24510270803,"Loch Raven, Baltimore, MD",28961
24510280200,"Gwynn Oak, Baltimore, MD",28819
24005402303,"Windsor Mill, Baltimore, MD",28814
24510080500,"Darley Park, Baltimore, MD",28799
24005402404,"Gwynn Oak, Lochearn, MD",28796
24510060300,"Butchers Hill, Baltimore, MD",28793
24510120700,"Remington, Baltimore, MD",28780
24005402305,"Lochearn, Pikesville, MD",28735
24510280402,"Rognel Heights, Baltimore, MD",28717
24510060200,"Baltimore, MD",28685
24510250205,"Lakeland, Baltimore, MD",28668
24510151100,"East Arlington, Baltimore, MD",28636
24510270805,"Mid-Govans, Baltimore, MD",28625
24510270902,"Perring Loch, Baltimore, MD",28573
24510260202,"Parkside, Baltimore, MD",28520
24510250500,"Curtis Bay, Baltimore, MD",28446
24510200701,"Allendale, Baltimore, MD",28422
24510280302,"West Forest Park, Baltimore, MD",28387
24510150500,"Burleith-Leighton, Baltimore, MD",28353
24510160600,"Mosher, Baltimore, MD",28122
24510190200,"Pratt Monroe, Baltimore, MD",28108
24510260404,"Baltimore Highlands, Baltimore, MD",27860
24510090500,"Better Waverly, Baltimore, MD",27724
24510190300,"Mount Clare, Baltimore, MD",27701
24510260402,"Frankford, Baltimore, MD",27647
24510260301,"Belair - Edison, Baltimore, MD",27566
24510250102,"Yale Heights, Baltimore, MD",27384
24510250207,"Cherry Hill, Baltimore, MD",27370
24510150900,"Windsor Hills, Baltimore, MD",27360
24510160200,"Sandtown-Winchester, Baltimore, MD",27131
24005403202,"Gwynn Oak, Baltimore, MD",27116
24510150200,"Sandtown-Winchester, Baltimore, MD",26916
24510280102,"Gwynn Oak, Baltimore, MD",26877
24510080700,"Broadway East, Baltimore, MD",26848
24510080400,"Broadway East, Baltimore, MD",26754
24510150400,"Mondawmin, Baltimore, MD",26693
24510090100,"Ednor Gardens - Lakeside, Baltimore, MD",26575
24510150701,"Hanlon Longwood, Baltimore, MD",26474
24510200300,"Bentalou-Smallwood, Baltimore, MD",26469
24510271700,"Central Park Heights, Baltimore, MD",26362
24510271002,"Winston - Govans, Baltimore, MD",26176
24510030200,"Little Italy, Baltimore, MD",25923
24510271801,"Arlington, Baltimore, MD",25921
24510120400,"Barclay, Baltimore, MD",25901
24510151000,"Dorchester, Baltimore, MD",25796
24510090900,"Oliver, Baltimore, MD",25777
24510151200,"Park Circle, Baltimore, MD",25674
24510160801,"Edmondson, Baltimore, MD",25652
24510200100,"Lexington, Baltimore, MD",25616
24510260203,"Frankford, Baltimore, MD",25558
24510070200,"Madison - Eastend, Baltimore, MD",25548
24510160802,"Edmondson, Baltimore, MD",25515
24510080302,"Berea, Baltimore, MD",25494
24510180100,"Poppleton, Baltimore, MD",25456
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",25453
24510200500,"Mill Hill, Baltimore, MD",25448
24510120600,"Old Goucher, Baltimore, MD",25416
24510060400,"Baltimore, MD",25392
24510080102,"Belair - Edison, Baltimore, MD",25365
24510150300,"Coppin Heights, Baltimore, MD",25193
24510130300,"Penn North, Baltimore, MD",25057
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",24955
24510260604,"O'Donnell Heights, Baltimore, MD",24873
24510170200,"McCulloh Homes, Baltimore, MD",24861
24510200702,"Saint Joseph's, Baltimore, MD",24732
24510260303,"Claremont - Freedom, Baltimore, MD",24692
24510271600,"Edgecomb, Baltimore, MD",24672
24510080200,"Broadway East, Baltimore, MD",24655
24510090600,"Coldstream - Homestead - Montebello, Baltimore, MD",24483
24510070400,"Gay Street, Baltimore, MD",24356
24510150600,"NW Community Action, Baltimore, MD",24133
24510210100,"Pigtown, Baltimore, MD",24114
24510080301,"Berea, Baltimore, MD",24046
24510130200,"Reservoir Hill, Baltimore, MD",23965
24510160400,"Midtown Edmondson, Baltimore, MD",23948
24510160700,"Rosemont, Baltimore, MD",23917
24510151300,"Central Park Heights, Baltimore, MD",23886
24510190100,"Franklin Square, Baltimore, MD",23789
24510250301,"Westport, Baltimore, MD",23625
24510280101,"Reisterstown Station, Baltimore, MD",23511
24510090800,"East Baltimore Midway, Baltimore, MD",23473
24510260403,"Cedonia, Baltimore, MD",23159
24510271802,"Langston Hughes, Baltimore, MD",23063
24510110100,"Downtown, Baltimore, MD",23011
24510060100,"Patterson Park, Baltimore, MD",23005
24510230100,"Baltimore, MD",22987
24510100200,"Baltimore, MD",22917
