"tract","Name","Household_Income_Stayed_in_Commuting_Zone_rP_gP_pall"
36047018600,"Kings County, NY",68070
36061006100,"Lower Manhattan, New York, NY",68044
36081122300,"Queens County, NY",68018
36047061600,"Kings County, NY",68000
36059405500,"Franklin Square, NY",67977
34017005802,"Jersey City, NJ",67958
36005011800,"Bronx County, NY",67933
36059517400,"Sea Cliff, NY",67926
34017015001,"Guttenberg, NJ",67898
34039036800,"Westfield, NJ",67885
36081150701,"Queens County, NY",67882
34013014900,"Bloomfield, NJ",67831
36081133900,"Queens County, NY",67733
34003051200,"Rutherford, NJ",67718
36081113300,"Queens County, NY",67699
34003003401,"Bergenfield, NJ",67664
36119005400,"Pelham, Village of Pelham, NY",67632
36119005300,"Pelham, Village of Pelham, NY",67515
36047041000,"Kings County, NY",67476
36081067700,"Queens County, NY",67431
36061011800,"Lenox Hill, New York, NY",67380
34003025200,"Hasbrouck Heights, NJ",67372
36085017009,"Richmond County, NY",67351
36059410700,"Valley Stream, NY",67338
36081074900,"Queens County, NY",67325
34003031200,"Lyndhurst, NJ",67310
36081152902,"Queens County, NY",67302
34003060000,"Wood-Ridge, NJ",67302
34003017500,"Fair Lawn, NJ",67292
34027042600,"Florham Park, NJ",67214
36047003000,"Kings County, NY",67171
36081099100,"Queens County, NY",67165
36085014700,"Richmond County, NY",67149
36061006000,"Midtown, New York, NY",67137
36059404500,"Floral Park, NY",67088
34003042500,"Paramus, NJ",67083
36085009601,"Richmond County, NY",67023
36085012805,"Richmond County, NY",67022
34013021601,"Fairfield, NJ",66923
36047075600,"Kings County, NY",66922
36005030701,"Bronx County, NY",66899
34039035600,"Rahway, NJ",66850
34013020200,"Essex County, NJ",66802
36047005601,"Kings County, NY",66784
34031124311,"Montclair, NJ",66778
34039038500,"Scotch Plains, NJ",66753
36005045101,"Bronx County, NY",66751
34013020300,"Essex County, NJ",66727
36081119300,"Queens County, NY",66703
36047064000,"Kings County, NY",66618
34003052100,"Saddle Brook, NJ",66614
34031124322,"Clifton, NJ",66582
36059416201,"Island Park, NY",66545
36081114700,"Queens County, NY",66540
34013021802,"West Caldwell, NJ",66504
36047016600,"Kings County, NY",66482
36081138501,"Queens County, NY",66479
36047037000,"Kings County, NY",66446
36059405400,"Elmont, NY",66442
36047045200,"Kings County, NY",66318
36047065200,"Kings County, NY",66304
36081051100,"Queens County, NY",66278
36081075702,"Queens County, NY",66227
34017014101,"North Bergen, NJ",66180
36081109300,"Queens County, NY",66167
34039037602,"Springfield Township, NJ",66096
34013021100,"Verona, NJ",66088
36081133300,"Queens County, NY",66046
36085024401,"Richmond County, NY",66032
36047005202,"Kings County, NY",66021
34017012500,"Kearny, NJ",66014
36059302600,"Floral Park, NY",65895
36059411200,"Cedarhurst, NY",65892
36085019800,"Richmond County, NY",65837
36059412200,"East Rockaway, NY",65833
36061003300,"Lower Manhattan, New York, NY",65830
36081119500,"Queens County, NY",65824
36061005400,"Midtown, New York, NY",65807
34031223802,"Totowa, NJ",65803
36085014605,"Richmond County, NY",65780
36059413803,"Baldwin, NY",65779
36081108500,"Queens County, NY",65771
34013014800,"Bloomfield, NJ",65762
34039033500,"Union, NJ",65705
34003051400,"Rutherford, NJ",65698
36059517000,"Glen Cove, NY",65692
36081072300,"Queens County, NY",65665
34039038300,"Mountainside, NJ",65635
34039033300,"Union, NJ",65629
34039037200,"Cranford, NJ",65624
36081152901,"Queens County, NY",65593
36059413001,"Oceanside, NY",65563
36085017700,"Richmond County, NY",65538
